agricultrendsmostyield.country,agricultrendsmostyield.crop,agricultrendsmostyield.totalyield
Chad,Sugar cane,3.9262205E7
Micronesia (Federated States of),Vegetables Primary,1999057.0
Paraguay,Sugar cane,2.2328971E7
Yemen,Watermelons,1.3520407E7
Senegal,Sugar cane,4.0377925E7
Cabo Verde,Mangoes mangosteens guavas,1.7758838E7
Sweden,Tomatoes,1.06523488E8
Kiribati,Fruit tropical fresh nes,8480986.0
Republic of Korea,Mushrooms and truffles,6.5899482E7
Guyana,Oilcrops,8.87304893E8
Eritrea,Fruit fresh nes,1870525.0
Philippines,Sugar cane,3.4909555E7
Djibouti,Vegetables Primary,2898554.0
Tonga,Tomatoes,9590405.0
Malaysia,Sugar cane,2.350296E7
Singapore,Cucumbers and gherkins,8018282.0
Fiji,Oilcrops,5.69723574E8
Turkey,Sugar beet,1.9198038E7
Malawi,Citrus Fruit Total,5.9537547E7
Iraq,Sugar cane,1.0906284E7
Germany,Mushrooms and truffles,4.4364278E7
Comoros,Vegetables fresh nes,3588629.0
Afghanistan,Sugar cane,1.0871723E7
Cambodia,Sugar cane,2.0248268E7
Jordan,Cucumbers and gherkins,2.3952517E7
Maldives,Bananas,7829949.0
Rwanda,Sugar cane,1.3204233E7
Sudan,Sugar cane,1001196.0
France,Tomatoes,3.5935925E7
Greece,Mushrooms and truffles,1.0143089E8
Sri Lanka,Sugar cane,2.3212498E7
Dominica,Sugar cane,1.0804803E7
Algeria,Oilcrops,9.7782148E7
Equatorial Guinea,Oil palm fruit,5298763.0
Togo,Fruit Primary,8707411.0
Slovakia,Sugar beet,8826936.0
Argentina,Sugar cane,3.0066003E7
Angola,Sugar cane,2.0730683E7
Belgium,Tomatoes,5.3141542E7
Ecuador,Sugar cane,3.6292096E7
Qatar,Tomatoes,9241810.0
Lesotho,Roots and Tubers Total,7861268.0
Albania,Sugar beet,1.2877088E7
Madagascar,Sugar cane,1.9764868E7
Finland,Tomatoes,1.09188328E8
Ghana,Sugar cane,1.3959084E7
Myanmar,Sugar cane,2.3485786E7
Nicaragua,Sugar cane,3.4969808E7
Brunei Darussalam,Cassava,5398892.0
Benin,Pineapples,1.3623766E7
Peru,Sugar cane,6.5839548E7
Sierra Leone,Sugar cane,2.236234E7
Bahamas,Sugar cane,1.1997281E7
China,Mushrooms and truffles,9.1270637E7
India,Sugar cane,3.0418103E7
Belarus,Sugar beet,6639201.0
Kuwait,Vegetables fresh nes,2.4977195E7
Malta,Tomatoes,1.3870772E7
Timor-Leste,Bananas,1.3277811E7
Sao Tome and Principe,Roots and tubers nes,5926211.0
Marshall Islands,Oilcrops,577096.0
Somalia,Sugar cane,3.2833801E7
Tuvalu,Vegetables fresh nes,3902611.0
Chile,Sugar beet,2.8581872E7
Tajikistan,Oilcrops,1.0654396E7
United Republic of Tanzania,Sugar cane,3.5997762E7
Bolivia (Plurinational State of),Sugar cane,2.2009232E7
Croatia,Sugar beet,8872885.0
Burundi,Sugar cane,2.8215824E7
Nigeria,Sugar cane,1.6834067E7
Gabon,Sugar cane,2.2948224E7
Italy,Sugar beet,2.3259873E7
Suriname,Sugar cane,2.8788731E7
Lithuania,Mushrooms and truffles,2.4845169E8
Norway,Tomatoes,1.21951532E8
Turkmenistan,Carrots and turnips,6159896.0
Spain,Mushrooms and truffles,1.04333175E8
Cuba,Sugar cane,2.1947322E7
Mauritania,Potatoes,3718117.0
Czechia,Sugar beet,9799955.0
Central African Republic,Oil palm fruit,4566333.0
Denmark,Fruit Primary,2.744245847E9
Niger,Sugar cane,1.8235641E7
Bangladesh,Sugar cane,2.1785856E7
Barbados,Sugar cane,2.9703695E7
Russian Federation,Sugar beet,5148674.0
Venezuela (Bolivarian Republic of),Sugar cane,3.551893E7
Ireland,Tomatoes,1.04701998E8
Congo,Sugar cane,1.7801934E7
Thailand,Sugar cane,2.5743835E7
Bhutan,Sugar cane,9478344.0
Democratic Republic of the Congo,Sugar cane,2.4820061E7
Morocco,Sugar cane,2.5053986E7
Panama,Oilcrops,2.9443589E7
Nauru,Vegetables Primary,3306661.0
Ukraine,Sugar beet,5040776.0
Iceland,Cucumbers and gherkins,1.03624129E8
Israel,Tomatoes,3.1119491E7
Saint Kitts and Nevis,Sugar cane,2.9578553E7
Oman,Tomatoes,1.259939E7
United States of America,Sugar cane,4.258441E7
Cyprus,Tomatoes,2.6076178E7
Uruguay,Sugar cane,2.5250263E7
Mexico,Sugar cane,3.593438E7
C�te d'Ivoire,Sugar cane,2.398026E7
Estonia,Cucumbers and gherkins,8274778.0
Georgia,Cabbages and other brassicas,2766311.0
Montenegro,Pears,8979426.0
Zimbabwe,Sugar cane,5.0245295E7
Indonesia,Sugar cane,5.0508954E7
Saint Vincent and the Grenadines,Oilcrops,4.2419478E7
Guatemala,Sugar cane,4.4821542E7
Mongolia,Vegetables fresh nes,5221390.0
Azerbaijan,Sugar beet,4437796.0
Libya,Tomatoes,8141298.0
Grenada,Sugar cane,2.0871528E7
Armenia,Tomatoes,7248141.0
Liberia,Bananas,5463080.0
Tunisia,Pumpkins squash and gourds,1.4112228E7
Honduras,Sugar cane,2.8922489E7
Trinidad and Tobago,Sugar cane,2.7475948E7
Saudi Arabia,Cucumbers and gherkins,1.3383111E7
Iran (Islamic Republic of),Sugar cane,4.4213332E7
Uganda,Sugar cane,2.6482752E7
Namibia,Roots and Tubers Total,4439270.0
Switzerland,Pears,7.7695651E7
Zambia,Sugar cane,4.785451E7
Ethiopia,Sugar cane,2.0274206E7
Eswatini,Sugar cane,5.247587E7
Jamaica,Sugar cane,3.2406872E7
Latvia,Cabbages and other brassicas,5302384.0
Faroe Islands�,Roots and Tubers Total,7216238.0
United Arab Emirates,Tomatoes,2.2003458E7
United Kingdom of Great Britain and Northern Ireland,Cucumbers and gherkins,1.78538929E8
Saint Lucia,Fruit Primary,6534510.0
Guinea,Sugar cane,1.8999684E7
Canada,Tomatoes,2.4253489E7
Seychelles,Pineapples,1.0577539E7
Kyrgyzstan,Cabbages and other brassicas,4272202.0
North Macedonia,Sugar beet,6403038.0
Samoa,Mangoes mangosteens guavas,1.9453592E7
Uzbekistan,Chillies and peppers green,1.364523E7
Mozambique,Sugar cane,1.9812481E7
Belize,Sugar cane,2.3491203E7
Brazil,Sugar cane,3.1256731E7
Gambia,Oil palm fruit,5184210.0
Kenya,Sugar cane,4.0085129E7
Lebanon,Sugar beet,2.5041371E7
Lao People's Democratic Republic,Sugar cane,1.2443669E7
Antigua and Barbuda,Fruit Primary,1.09464415E8
Slovenia,Plums and sloes,3.0059836E7
Dominican Republic,Papayas,3.63579E7
Viet Nam,Sugar cane,2.2605286E7
Botswana,Onions dry,7882957.0
Japan,Sugar cane,3.3645294E7
Luxembourg,Tomatoes,1.0611538E7
New Zealand,Mushrooms and truffles,1.6902413E8
Bosnia and Herzegovina,Sugar beet,5117136.0
Haiti,Sugar cane,2.2179159E7
Poland,Sugar beet,1.8453241E7
Portugal,Oilcrops,1.43145159E8
Republic of Moldova,Sugar beet,4809178.0
Australia,Mushrooms and truffles,8.809573E7
Cameroon,Oil palm fruit,9006376.0
Papua New Guinea,Sugar cane,2.4901908E7
Guinea-Bissau,Sugar cane,1.3248492E7
Romania,Mushrooms and truffles,1.11167698E8
Bulgaria,Cauliflowers and broccoli,2.7584419E7
Solomon Islands,Watermelons,9672173.0
Austria,Tomatoes,5.2315775E7
Nepal,Sugar cane,1.4258102E7
Costa Rica,Sugar cane,3.4708452E7
Egypt,Sugar cane,5.1774713E7
El Salvador,Sugar cane,3.8418423E7
Kazakhstan,Chicory roots,7395617.0
Serbia,Sugar beet,3152932.0
Burkina Faso,Fruit Primary,7.0574324E7
South Africa,Sugar cane,3.8098734E7
Bahrain,Chillies and peppers green,1.6050989E7
Colombia,Sugar cane,4.0021629E7
Hungary,Sugar beet,1.9632102E7
Pakistan,Sugar cane,2.186669E7
Vanuatu,Vegetables fresh nes,7956355.0
Mauritius,Sugar cane,3.684382E7
Syrian Arab Republic,Sugar cane,2.1564414E7
Mali,Sugar cane,3.1114647E7
Netherlands,Fruit Primary,7.04096231E8
Democratic People's Republic of Korea,Cabbages and other brassicas,1.0219383E7
